"State","Year","mortality"
"AK","1999",234.627102803738
"AK","2000",174.68785046729
"AK","2001",174.476635514019
"AK","2002",128.252336448598
"AK","2003",201.090654205607
"AK","2004",152.547663551402
"AK","2005",195.74953271028
"AK","2006",162.895327102804
"AK","2007",145.809345794393
"AK","2008",150.909345794393
"AK","2009",140.765420560748
"AK","2010",132.342056074766
"AK","2011",126.63738317757
"AK","2012",142.635514018692
"AK","2013",135.776635514019
"AK","2014",111.132710280374
"AK","2015",114.046728971963
"AK","2016",122.275700934579
"AK","2017",120.193457943925
"AK","2018",130.38785046729
"AK","2019",112.960747663551
"AL","1999",235.937182448037
"AL","2000",237.021478060046
"AL","2001",229.725173210162
"AL","2002",234.872517321016
"AL","2003",227.309699769053
"AL","2004",217.699769053118
"AL","2005",209.743418013857
"AL","2006",195.437413394919
"AL","2007",194.331870669746
"AL","2008",190.708545034642
"AL","2009",175.839722863741
"AL","2010",172.865357967667
"AL","2011",163.496766743649
"AL","2012",160.385219399538
"AL","2013",158.176674364896
"AL","2014",158.995612009238
"AL","2015",168.04064665127
"AL","2016",164.373903002309
"AL","2017",165.054041570439
"AL","2018",166.936258660508
"AL","2019",165.558429561201
"AR","1999",265.364891041162
"AR","2000",265.321549636804
"AR","2001",259.051331719128
"AR","2002",256.745762711864
"AR","2003",242.418159806295
"AR","2004",224.43583535109
"AR","2005",218.15181598063
"AR","2006",205.671670702179
"AR","2007",203.913075060533
"AR","2008",193.510895883777
"AR","2009",179.498547215496
"AR","2010",180.59588377724
"AR","2011",177.013801452784
"AR","2012",168.513559322034
"AR","2013",165.522033898305
"AR","2014",162.974334140436
"AR","2015",157.86392251816
"AR","2016",156.230992736077
"AR","2017",154.343341404358
"AR","2018",147.658353510896
"AR","2019",143.835351089588
"AZ","1999",189.785507246377
"AZ","2000",187.663043478261
"AZ","2001",182.891304347826
"AZ","2002",174.476811594203
"AZ","2003",168.758695652174
"AZ","2004",158.765217391304
"AZ","2005",148.751449275362
"AZ","2006",136.847101449275
"AZ","2007",136.10652173913
"AZ","2008",128.538405797101
"AZ","2009",119.786231884058
"AZ","2010",119.46231884058
"AZ","2011",114.494927536232
"AZ","2012",108.16231884058
"AZ","2013",107.348550724638
"AZ","2014",106.998550724638
"AZ","2015",108.810144927536
"AZ","2016",110.525362318841
"AZ","2017",112.630434782609
"AZ","2018",109.528985507246
"AZ","2019",108.641304347826
"CA","1999",220.896998123827
"CA","2000",217.706566604128
"CA","2001",216.06660412758
"CA","2002",205.74765478424
"CA","2003",200.870919324578
"CA","2004",189.347091932458
"CA","2005",174.27373358349
"CA","2006",162.957786116323
"CA","2007",157.184990619137
"CA","2008",148.311257035647
"CA","2009",134.803564727955
"CA","2010",136.967542213884
"CA","2011",131.65478424015
"CA","2012",125.997936210131
"CA","2013",125.160037523452
"CA","2014",122.28574108818
"CA","2015",128.344090056285
"CA","2016",128.961350844278
"CA","2017",131.751594746717
"CA","2018",128.603001876173
"CA","2019",130.572607879925
"CO","1999",172.427011494253
"CO","2000",172.866091954023
"CO","2001",170.931896551724
"CO","2002",168.887931034483
"CO","2003",161.439367816092
"CO","2004",144.61724137931
"CO","2005",137.997464788732
"CO","2006",128.288450704225
"CO","2007",127.476901408451
"CO","2008",122.246197183099
"CO","2009",115.796056338028
"CO","2010",113.901126760563
"CO","2011",109.321971830986
"CO","2012",103.86676056338
"CO","2013",102.134929577465
"CO","2014",106.382535211268
"CO","2015",106.660281690141
"CO","2016",107.059718309859
"CO","2017",110.966197183099
"CO","2018",104.683661971831
"CO","2019",102.389577464789
"CT","1999",159.167532467532
"CT","2000",160.963636363636
"CT","2001",155.932467532468
"CT","2002",147.063636363636
"CT","2003",142.911688311688
"CT","2004",130.697402597403
"CT","2005",119.328571428571
"CT","2006",114.675324675325
"CT","2007",108.344155844156
"CT","2008",105.209090909091
"CT","2009",98.4181818181818
"CT","2010",95.2675324675325
"CT","2011",93.4233766233766
"CT","2012",90.1181818181818
"CT","2013",89.8948051948052
"CT","2014",88.0090909090909
"CT","2015",90.474025974026
"CT","2016",86.0961038961039
"CT","2017",87.074025974026
"CT","2018",86.7935064935065
"CT","2019",86.7233766233766
"DC","1999",136.872727272727
"DC","2000",126.7
"DC","2001",128.372727272727
"DC","2002",125.881818181818
"DC","2003",121.318181818182
"DC","2004",113.181818181818
"DC","2005",107.409090909091
"DC","2006",102.790909090909
"DC","2007",101.527272727273
"DC","2008",98.5272727272727
"DC","2009",93.4181818181818
"DC","2010",91.9181818181818
"DC","2011",92.8636363636364
"DC","2012",90.1727272727273
"DC","2013",87.2272727272727
"DC","2014",91.7363636363636
"DC","2015",99.4
"DC","2016",102.627272727273
"DC","2017",99.9454545454546
"DC","2018",101.163636363636
"DC","2019",104.372727272727
"DE","1999",174.416666666667
"DE","2000",185.35
"DE","2001",181.416666666667
"DE","2002",177.13
"DE","2003",165.553333333333
"DE","2004",149.923333333333
"DE","2005",145.54
"DE","2006",138.983333333333
"DE","2007",137.046666666667
"DE","2008",132.413333333333
"DE","2009",132.23
"DE","2010",131.466666666667
"DE","2011",130.566666666667
"DE","2012",126.153333333333
"DE","2013",118.206666666667
"DE","2014",128.296666666667
"DE","2015",140.496666666667
"DE","2016",141.936666666667
"DE","2017",149.63
"DE","2018",151.386666666667
"DE","2019",151.923333333333
"FL","1999",198.675176056338
"FL","2000",195.945070422535
"FL","2001",192.451232394366
"FL","2002",185.433098591549
"FL","2003",178.173063380282
"FL","2004",166.827464788732
"FL","2005",158.353169014085
"FL","2006",147.933098591549
"FL","2007",141.317957746479
"FL","2008",135.1875
"FL","2009",125.32588028169
"FL","2010",125.496126760563
"FL","2011",117.089788732394
"FL","2012",112.750176056338
"FL","2013",110.805809859155
"FL","2014",115.953169014085
"FL","2015",125.033098591549
"FL","2016",125.456690140845
"FL","2017",129.902464788732
"FL","2018",133.714964788732
"FL","2019",137.545598591549
"GA","1999",251.705120481928
"GA","2000",256.010742971888
"GA","2001",244.288554216867
"GA","2002",238.991064257028
"GA","2003",231.125803212851
"GA","2004",215.404016064257
"GA","2005",199.401204819277
"GA","2006",186.137550200803
"GA","2007",182.944678714859
"GA","2008",176.126104417671
"GA","2009",163.686546184739
"GA","2010",158.644578313253
"GA","2011",149.023092369478
"GA","2012",143.771485943775
"GA","2013",142.191666666667
"GA","2014",146.79718875502
"GA","2015",151.636144578313
"GA","2016",145.865662650602
"GA","2017",145.189357429719
"GA","2018",146.510542168675
"GA","2019",139.666265060241
"HI","1999",218.989189189189
"HI","2000",217.743243243243
"HI","2001",215.467567567568
"HI","2002",231.3
"HI","2003",221.881081081081
"HI","2004",220.702702702703
"HI","2005",159.043243243243
"HI","2006",153.310810810811
"HI","2007",156.586486486486
"HI","2008",135.402702702703
"HI","2009",156.286486486486
"HI","2010",117.189189189189
"HI","2011",125.264864864865
"HI","2012",132.808108108108
"HI","2013",126.845945945946
"HI","2014",127.521621621622
"HI","2015",147.151351351351
"HI","2016",124.589189189189
"HI","2017",121.983783783784
"HI","2018",150.313513513513
"HI","2019",158.005405405405
"IA","1999",224.123873873874
"IA","2000",213.736261261261
"IA","2001",209.484684684685
"IA","2002",207.425
"IA","2003",194.540540540541
"IA","2004",183.422747747748
"IA","2005",170.384684684685
"IA","2006",159.206081081081
"IA","2007",151.961711711712
"IA","2008",151.214414414414
"IA","2009",138.415315315315
"IA","2010",135.314189189189
"IA","2011",128.867567567568
"IA","2012",122.30518018018
"IA","2013",120.816216216216
"IA","2014",119.988738738739
"IA","2015",118.901126126126
"IA","2016",115.509459459459
"IA","2017",116.336261261261
"IA","2018",115.161486486486
"IA","2019",113.668918918919
"ID","1999",210.24028436019
"ID","2000",205.758293838863
"ID","2001",202.696208530806
"ID","2002",197.967298578199
"ID","2003",193.195260663507
"ID","2004",175.010900473934
"ID","2005",168.541232227488
"ID","2006",154.842180094787
"ID","2007",147.191469194313
"ID","2008",143.536492890995
"ID","2009",134.795260663507
"ID","2010",133.036492890995
"ID","2011",126.29336492891
"ID","2012",119.304739336493
"ID","2013",118.211848341232
"ID","2014",118.120379146919
"ID","2015",117.90663507109
"ID","2016",116.639336492891
"ID","2017",117.127962085308
"ID","2018",113.169668246445
"ID","2019",109.044075829384
"IL","1999",229.080217785844
"IL","2000",217.497096188748
"IL","2001",212.135753176044
"IL","2002",207.147368421053
"IL","2003",197.052994555354
"IL","2004",186.187658802178
"IL","2005",178.113974591652
"IL","2006",167.749001814882
"IL","2007",161.186569872958
"IL","2008",158.949909255898
"IL","2009",144.876406533575
"IL","2010",144.994010889292
"IL","2011",141.811615245009
